"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename","entrez"
"ENSG00000067057",4159.87291565654,-0.707639692825222,0.0445295344167459,-15.8914684847705,7.26065410438509e-57,1.48165547242182e-55,"PFKP","phosphofructokinase, platelet","5214"
"ENSG00000168078",197.072225841373,-2.77381140894803,0.17459605499351,-15.8870222414312,7.79431815286635e-57,1.58836146446671e-55,"PBK","PDZ binding kinase","55872"
"ENSG00000168615",10531.9689365195,-0.586160155495452,0.0369198264171751,-15.8765685643302,9.20798724516523e-57,1.87385715607128e-55,"ADAM9","ADAM metallopeptidase domain 9","8754"
"ENSG00000100097",18826.7726782722,-0.665220194573153,0.0419117778789415,-15.8719154433053,9.91676637436636e-57,2.01531640616255e-55,"LGALS1","galectin 1","3956"
"ENSG00000009954",1946.16442084495,-0.837981695078766,0.0528130509079095,-15.8669435049295,1.07342502367902e-56,2.17844742769742e-55,"BAZ1B","bromodomain adjacent to zinc finger domain 1B","9031"
"ENSG00000121060",832.60095293763,-1.16240666354449,0.0732938182237329,-15.8595457531792,1.20764182050124e-56,2.44746530490045e-55,"TRIM25","tripartite motif containing 25","7706"
"ENSG00000178209",18013.6208162155,-0.636055584122883,0.040143100268556,-15.8447050643247,1.52936849025539e-56,3.09524042595721e-55,"PLEC","plectin","5339"
"ENSG00000113070",432.428567796745,-1.70867481031592,0.107980591343898,-15.8239067692647,2.12864299835069e-56,4.30219161611863e-55,"HBEGF","heparin binding EGF like growth factor","1839"
"ENSG00000115758",3278.83582547899,0.875259560510681,0.0553476094766287,15.8138638468256,2.49673135518094e-56,5.03923042603826e-55,"ODC1","ornithine decarboxylase 1","4953"
"ENSG00000156976",3455.14319469812,0.856228056727828,0.0542328280308263,15.7880030936455,3.76305174909864e-56,7.58470840248651e-55,"EIF4A2","eukaryotic translation initiation factor 4A2","1974"
"ENSG00000152127",5463.89093284956,0.716831089299919,0.0454745766166972,15.7633372893617,5.56168473358563e-56,1.11946925728953e-54,"MGAT5","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase","4249"
"ENSG00000196923",3093.59540558037,-0.76230329331721,0.0483746709114315,-15.7583148154723,6.02173583203731e-56,1.21041812623813e-54,"PDLIM7","PDZ and LIM domain 7","9260"
"ENSG00000175130",3848.64227362953,0.764862835375443,0.048551235272078,15.753725545585,6.4751589861138e-56,1.29978905688603e-54,"MARCKSL1","MARCKS like 1","65108"
"ENSG00000196576",12242.4457751012,0.705821977339575,0.0448151986444377,15.7496117096243,6.91043125576743e-56,1.38527856994012e-54,"PLXNB2","plexin B2","23654"
"ENSG00000186185",151.351625572307,-2.94093733509591,0.186748183716636,-15.748144247327,7.07265099157525e-56,1.41587371410721e-54,"KIF18B","kinesin family member 18B","146909"
"ENSG00000128590",788.915899852491,1.19943834870378,0.0761831574257463,15.7441406897954,7.53476923588339e-56,1.50634126431197e-54,"DNAJB9","DnaJ heat shock protein family (Hsp40) member B9","4189"
"ENSG00000115694",1528.08387841683,-0.980259587661865,0.0622653032324327,-15.7432717223365,7.63897729504446e-56,1.52510786212565e-54,"STK25","serine/threonine kinase 25","10494"
"ENSG00000072195",636.591102933264,-1.41045635816486,0.089599401305991,-15.7418056103747,7.81806006541569e-56,1.55875213790734e-54,"SPEG","striated muscle enriched protein kinase","10290"
"ENSG00000101158",617.70084492182,-1.25757671306571,0.0799282988123698,-15.7338105746232,8.87079820403122e-56,1.76625852499699e-54,"NELFCD","negative elongation factor complex member C/D","51497"
"ENSG00000172331",1155.33284929172,1.13099717181773,0.0718957495370523,15.7310714346869,9.26302683597894e-56,1.84186924444789e-54,"BPGM","bisphosphoglycerate mutase","669"
"ENSG00000138078",866.017428670229,-1.11533715883238,0.0709008240864777,-15.7309477457131,9.28114033583763e-56,1.84298714017427e-54,"PREPL","prolyl endopeptidase like","9581"
"ENSG00000077943",161.821193997302,3.06561273901099,0.194888685130752,15.7300704089324,9.4106375666556e-56,1.86537107823591e-54,"ITGA8","integrin subunit alpha 8","8516"
"ENSG00000140575",7629.75884132225,-0.59680873831705,0.0379407653617641,-15.7300131567325,9.41915042216183e-56,1.86537107823591e-54,"IQGAP1","IQ motif containing GTPase activating protein 1","8826"
"ENSG00000106665",3266.13156668889,0.707582437235079,0.0450048834611399,15.7223479502186,1.06309852093317e-55,2.10254096217801e-54,"CLIP2","CAP-Gly domain containing linker protein 2","7461"
"ENSG00000135631",1430.66372098328,-0.936220776340037,0.0596051919818495,-15.7070339883332,1.35365551016833e-55,2.67360554177022e-54,"RAB11FIP5","RAB11 family interacting protein 5","26056"
"ENSG00000135476",162.982841162264,-2.74549200115289,0.174938426819832,-15.6940476204262,1.66117015664246e-55,3.27659150950572e-54,"ESPL1","extra spindle pole bodies like 1, separase","9700"
"ENSG00000138071",8345.5007177971,-0.628369776253553,0.04003901906818,-15.6939353380147,1.66411179463338e-55,3.27801140427515e-54,"ACTR2","actin related protein 2","10097"
"ENSG00000118200",2349.5585314731,0.803414886274715,0.0512065116288778,15.6897015773601,1.77889891642967e-55,3.49944994840044e-54,"CAMSAP2","calmodulin regulated spectrin associated protein family member 2","23271"
"ENSG00000166986",2664.07866057974,-0.738620817327958,0.0470869203875368,-15.686326717673,1.87602062172875e-55,3.68559364220851e-54,"MARS1","methionyl-tRNA synthetase 1","4141"
"ENSG00000148082",1145.26925635343,1.04378608324498,0.0666120544553876,15.6696275438261,2.44005053192191e-55,4.78730126967764e-54,"SHC3","SHC adaptor protein 3","53358"
"ENSG00000037474",1045.18764367081,-1.03695827016452,0.0661842211825272,-15.6677566289513,2.5129364988188e-55,4.92375366581309e-54,"NSUN2","NOP2/Sun RNA methyltransferase 2","54888"
"ENSG00000077684",439.988370927781,-1.62056820324636,0.103444314467325,-15.6660925406224,2.57958492399411e-55,5.04763872262719e-54,"JADE1","jade family PHD finger 1","79960"
"ENSG00000079819",2820.57434543831,-0.859343530943931,0.054864842856391,-15.6629179307643,2.71165253356248e-55,5.29903595763984e-54,"EPB41L2","erythrocyte membrane protein band 4.1 like 2","2037"
"ENSG00000031698",3209.527922941,-0.815145829491254,0.0520437709197717,-15.6626972850958,2.72107805448483e-55,5.31042137776046e-54,"SARS1","seryl-tRNA synthetase 1","6301"
"ENSG00000143079",1003.35760445705,-1.09579574407972,0.0699675035677988,-15.6614955258177,2.77299047637925e-55,5.40458408038301e-54,"CTTNBP2NL","CTTNBP2 N-terminal like","55917"
"ENSG00000174136",2119.78689767237,-1.0980052679077,0.0701369775334261,-15.6551551909178,3.06365007233494e-55,5.96320490332846e-54,"RGMB","repulsive guidance molecule BMP co-receptor b","285704"
"ENSG00000204592",3442.32152790181,0.717392995711731,0.0458360056297229,15.6512982720844,3.25510551201742e-55,6.32751340241173e-54,"HLA-E","major histocompatibility complex, class I, E","3133"
"ENSG00000111665",169.507662978251,-2.72307983560973,0.17401323562726,-15.6486937662754,3.39108621047574e-55,6.58316920386303e-54,"CDCA3","cell division cycle associated 3","83461"
"ENSG00000130816",1726.12741414534,-0.934617105040996,0.0597297700660374,-15.6474251283352,3.45935595703681e-55,6.706877501987e-54,"DNMT1","DNA methyltransferase 1","1786"
"ENSG00000197043",9202.93943573505,-0.610469312790314,0.0390330690214303,-15.6397979481231,3.89963410607025e-55,7.55055139120215e-54,"ANXA6","annexin A6","309"
"ENSG00000073111",355.267821123752,-1.80843478389465,0.115652142460371,-15.6368463689666,4.08461592367549e-55,7.89835168255677e-54,"MCM2","minichromosome maintenance complex component 2","4171"
"ENSG00000109686",536.691220637998,-1.44585522616331,0.0925106507734016,-15.629067724373,4.61505833555764e-55,8.91237836162532e-54,"SH3D19","SH3 domain containing 19","152503"
"ENSG00000075975",588.221946023915,-1.33968096949507,0.0857211281056903,-15.6283637313231,4.66632441629143e-55,8.9996013644397e-54,"MKRN2","makorin ring finger protein 2","23609"
"ENSG00000122863",1110.41627542257,-0.992989160290069,0.0635825760516175,-15.6173156539607,5.54932076540868e-55,1.06886003358798e-53,"CHST3","carbohydrate sulfotransferase 3","9469"
"ENSG00000180340",886.962268180466,-1.22181831000249,0.078264204263751,-15.6114576452467,6.08311499709957e-55,1.17014704911613e-53,"FZD2","frizzled class receptor 2","2535"
"ENSG00000149269",587.639840204478,-1.43653360085512,0.092059229993298,-15.6044494502039,6.78928669620957e-55,1.30428562390463e-53,"PAK1","p21 (RAC1) activated kinase 1","5058"
"ENSG00000150403",1834.88251477324,-0.833509025181167,0.05342186476521,-15.6023948030353,7.01139042502904e-55,1.34520226698151e-53,"TMCO3","transmembrane and coiled-coil domains 3","55002"
"ENSG00000117650",126.838303527204,-3.43633089724672,0.220272576287661,-15.6003573171047,7.23878344088194e-55,1.38702611541263e-53,"NEK2","NIMA related kinase 2","4751"
"ENSG00000082397",651.437555330181,-1.28300113431564,0.0823090853959123,-15.5876004227762,8.83919112968069e-55,1.6914841235708e-53,"EPB41L3","erythrocyte membrane protein band 4.1 like 3","23136"
"ENSG00000136842",196.254349126235,2.49061780383984,0.159812693378401,15.5846056479545,9.2633229468935e-55,1.77035060567962e-53,"TMOD1","tropomodulin 1","7111"
"ENSG00000142192",15389.4743856234,0.612237855764979,0.0392911493004841,15.5820806126798,9.63663567532198e-55,1.83931336033248e-53,"APP","amyloid beta precursor protein","351"
"ENSG00000132274",1168.42818880782,0.977774062791277,0.0627594141614382,15.5797194071333,9.99926989908423e-55,1.90606237843784e-53,"TRIM22","tripartite motif containing 22","10346"
"ENSG00000144724",1673.79923346359,0.840474739305985,0.0539593129688253,15.5760830348519,1.05845000816379e-54,2.01501566715466e-53,"PTPRG","protein tyrosine phosphatase receptor type G","5793"
"ENSG00000166963",10655.5107150353,-0.605954683901913,0.0389053851753836,-15.5750850729352,1.0750992423685e-54,2.04407399766816e-53,"MAP1A","microtubule associated protein 1A","4130"
"ENSG00000124151",1531.79900842077,0.899119659888088,0.057776989509148,15.5618987338502,1.32120543594748e-54,2.50875997451341e-53,"NCOA3","nuclear receptor coactivator 3","8202"
"ENSG00000182963",872.033773932354,-1.12615302959756,0.0723857757199908,-15.5576564372792,1.41174165431614e-54,2.67722832490749e-53,"GJC1","gap junction protein gamma 1","10052"
"ENSG00000084623",2712.44670986767,-0.751257740192673,0.0482971083787981,-15.5549217212032,1.47335271594346e-54,2.79048086919509e-53,"EIF3I","eukaryotic translation initiation factor 3 subunit I","8668"
"ENSG00000119865",249.515401681249,-2.02244438376139,0.13005686470641,-15.550462394483,1.57961239738686e-54,2.98789760398022e-53,"CNRIP1","cannabinoid receptor interacting protein 1","25927"
"ENSG00000113369",944.426509850633,1.26283055914422,0.0813253448267379,15.5281303981515,2.23810264996562e-54,4.22803668343056e-53,"ARRDC3","arrestin domain containing 3","57561"
"ENSG00000107372",4119.59523116801,0.706577701235748,0.0455318475725437,15.518318252076,2.60796852228326e-54,4.92045621199069e-53,"ZFAND5","zinc finger AN1-type containing 5","7763"
"ENSG00000146376",642.520139587642,-1.29167075533748,0.0833224940148049,-15.5020654459523,3.35917382564732e-54,6.32966163775231e-53,"ARHGAP18","Rho GTPase activating protein 18","93663"
"ENSG00000206190",599.080262767497,-1.46501653328493,0.0945177070162967,-15.499916148329,3.47345170040183e-54,6.53664622292456e-53,"ATP10A","ATPase phospholipid transporting 10A (putative)","57194"
"ENSG00000118985",2757.50035775855,-0.833522732056632,0.0538061029570755,-15.4912302926229,3.97608275512642e-54,7.4730095502083e-53,"ELL2","elongation factor for RNA polymerase II 2","22936"
"ENSG00000128928",775.475240171357,-1.11973693288549,0.0722913410069965,-15.4892261962206,4.10197815612305e-54,7.69982006557755e-53,"IVD","isovaleryl-CoA dehydrogenase","3712"
"ENSG00000147224",1305.19656293962,-1.1521002679888,0.0744656073268744,-15.4715755279016,5.39698048117979e-54,1.01177954281228e-52,"PRPS1","phosphoribosyl pyrophosphate synthetase 1","5631"
"ENSG00000100644",11564.0136796391,0.652918204726117,0.0422052961301918,15.4700538698282,5.52607870228868e-54,1.03466707073055e-52,"HIF1A","hypoxia inducible factor 1 subunit alpha","3091"
"ENSG00000087245",13604.2258356842,0.618398202775747,0.0399829178779045,15.466560111099,5.83424588283679e-54,1.09098179664606e-52,"MMP2","matrix metallopeptidase 2","4313"
"ENSG00000143850",361.134556233999,-1.82423891468304,0.117974560000462,-15.4629855341347,6.16725773173417e-54,1.15179393131653e-52,"PLEKHA6","pleckstrin homology domain containing A6","22874"
"ENSG00000075702",146.955080361503,-2.81304890570807,0.182068653943859,-15.4504844451449,7.48785558782384e-54,1.39666019396654e-52,"WDR62","WD repeat domain 62","284403"
"ENSG00000154310",348.650585752471,-1.62763634554553,0.105356685104594,-15.4488188758946,7.68385857203289e-54,1.43140971429007e-52,"TNIK","TRAF2 and NCK interacting kinase","23043"
"ENSG00000108946",3294.12422103295,-0.685938808870753,0.0444175397379361,-15.4429716935652,8.41328711232856e-54,1.56531699943626e-52,"PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha","5573"
"ENSG00000185022",1126.76320834814,1.05873720859092,0.0687113282165799,15.4084811932867,1.43546047064441e-53,2.66735312139642e-52,"MAFF","MAF bZIP transcription factor F","23764"
"ENSG00000189339",1751.0672425259,0.877810539396576,0.0570548914995842,15.3853686568307,2.05204402315891e-53,3.80828396448888e-52,"SLC35E2B","solute carrier family 35 member E2B","728661"
"ENSG00000197702",4036.58588102222,-0.709418495123179,0.0461229326306811,-15.3810361713919,2.19408079640465e-53,4.06676734549676e-52,"PARVA","parvin alpha","55742"
"ENSG00000115109",1104.89895198117,0.994218849926456,0.0646588923884519,15.3763668569124,2.35813791405413e-53,4.36536597038328e-52,"EPB41L5","erythrocyte membrane protein band 4.1 like 5","57669"
"ENSG00000136478",785.137902686494,-1.17701885359497,0.0765556573045065,-15.3746815720396,2.42030393806132e-53,4.47483261931789e-52,"TEX2","testis expressed 2","55852"
"ENSG00000118777",191.950750642772,2.67194143274958,0.174051784707592,15.3514164605578,3.46536498319405e-53,6.39899811790301e-52,"ABCG2","ATP binding cassette subfamily G member 2 (JR blood group)","9429"
"ENSG00000076108",1894.66632069989,0.818420258111577,0.0533195715883947,15.3493404716273,3.57805477251264e-53,6.59882751420644e-52,"BAZ2A","bromodomain adjacent to zinc finger domain 2A","11176"
"ENSG00000071054",12760.5393878931,0.538580542684067,0.0350900990551585,15.348504483771,3.62445821287218e-53,6.6760619816125e-52,"MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4","9448"
"ENSG00000105402",602.665076771524,-1.2340009335443,0.0804740701554067,-15.334143422363,4.52198395795969e-53,8.31887173512934e-52,"NAPA","NSF attachment protein alpha","8775"
"ENSG00000099250",5635.73291810195,-0.61927523009654,0.0403908000800474,-15.3320862391744,4.66751542218967e-53,8.57590567110664e-52,"NRP1","neuropilin 1","8829"
"ENSG00000197217",2384.70451263753,0.749733148373833,0.0489045544459843,15.3305383694258,4.78008292704041e-53,8.77180889372565e-52,"ENTPD4","ectonucleoside triphosphate diphosphohydrolase 4","9583"
"ENSG00000155816",581.200694968664,-1.37997595537906,0.0900294104832422,-15.3280572201006,4.96618867399181e-53,9.10200592497828e-52,"FMN2","formin 2","56776"
"ENSG00000155097",1556.83232384661,0.886890032412138,0.0578806167835276,15.322746744892,5.38911657951994e-53,9.86489156504184e-52,"ATP6V1C1","ATPase H+ transporting V1 subunit C1","528"
"ENSG00000198856",1749.84936810886,-0.852706711511662,0.0556532797317679,-15.3217692761586,5.4707830596724e-53,1.00019743819587e-51,"OSTC","oligosaccharyltransferase complex non-catalytic subunit","58505"
"ENSG00000102144",5611.42013253563,-0.641436755779267,0.0419260695816372,-15.2992341562159,7.73615914094755e-53,1.41261499957352e-51,"PGK1","phosphoglycerate kinase 1","5230"
"ENSG00000136824",494.584693554288,-1.42020853907625,0.0928925792164017,-15.2887189811766,9.09210041466369e-53,1.65815635992519e-51,"SMC2","structural maintenance of chromosomes 2","10592"
"ENSG00000164300",715.314988093739,1.27679493994748,0.0835169988477918,15.2878450801904,9.214912332171e-53,1.67847921665248e-51,"SERINC5","serine incorporator 5","256987"
"ENSG00000011009",1433.22328920563,0.939915669398281,0.0614898326017973,15.285708703829,9.5221433781694e-53,1.73230213811974e-51,"LYPLA2","lysophospholipase 2","11313"
"ENSG00000130707",312.543560143866,-1.77315930711539,0.116030906960448,-15.2817844276596,1.0113308394502e-52,1.83758315335569e-51,"ASS1","argininosuccinate synthase 1","445"
"ENSG00000092621",1283.19734617957,-2.32800498477343,0.152523694565332,-15.2632349446286,1.3441591558731e-52,2.43932646811214e-51,"PHGDH","phosphoglycerate dehydrogenase","26227"
"ENSG00000125347",672.1584310927,1.47864389118195,0.0969608682700143,15.2499035700078,1.64876439382958e-52,2.9884361015432e-51,"IRF1","interferon regulatory factor 1","3659"
"ENSG00000170961",772.814457351281,-1.15237499874474,0.0755738515751469,-15.2483296103927,1.68898878206083e-52,3.05758779024853e-51,"HAS2","hyaluronan synthase 2","3037"
"ENSG00000136492",160.942137410396,-2.66488475305143,0.174813683821239,-15.2441427627398,1.80080892343007e-52,3.25602142846657e-51,"BRIP1","BRCA1 interacting DNA helicase 1","83990"
"ENSG00000130821",1258.25019313354,0.948558993410336,0.0622690392129768,15.2332363787726,2.1279192697627e-52,3.84275653685175e-51,"SLC6A8","solute carrier family 6 member 8","6535"
"ENSG00000013619",175.16241143622,-2.47366157787152,0.162467576300468,-15.2255707520172,2.39261438072045e-52,4.31548075466375e-51,"MAMLD1","mastermind like domain containing 1","10046"
"ENSG00000089472",964.821734208674,1.02456485584004,0.0673106763765038,15.2214315914628,2.54891750777531e-52,4.59178619166263e-51,"HEPH","hephaestin","9843"
"ENSG00000113013",3966.44364963751,-0.664614831024226,0.0436772822725568,-15.2164877584844,2.74898253971024e-52,4.94615712083961e-51,"HSPA9","heat shock protein family A (Hsp70) member 9","3313"
"ENSG00000166396",310.863651910332,-1.70576899085811,0.112149582162059,-15.2097667951471,3.04626356097301e-52,5.47436937619924e-51,"SERPINB7","serpin family B member 7","8710"
"ENSG00000173848",353.216966879313,-1.64833871434145,0.108435044101737,-15.2011623916982,3.47401440037049e-52,6.23547548212484e-51,"NET1","neuroepithelial cell transforming 1","10276"
"ENSG00000187735",1090.93681721721,-0.956300567592049,0.0629229927665942,-15.1979511073057,3.64855207308396e-52,6.54079432397092e-51,"TCEA1","transcription elongation factor A1","6917"
"ENSG00000132376",578.597847509543,1.30783997656371,0.086195772369661,15.1729016471351,5.34602180381879e-52,9.57223370067263e-51,"INPP5K","inositol polyphosphate-5-phosphatase K","51763"
"ENSG00000108828",6300.86847660561,0.689870004728416,0.04554724878248,15.1462497333929,8.02151666002858e-52,1.43453887032802e-50,"VAT1","vesicle amine transport 1","10493"
"ENSG00000080986",148.756742367977,-2.86499764587708,0.189252774395203,-15.1384710476915,9.02884537241998e-52,1.61273104872499e-50,"NDC80","NDC80 kinetochore complex component","10403"
"ENSG00000105202",840.833492697942,-1.04291510584247,0.068976120757311,-15.1199443284425,1.19643712385533e-51,2.13449012398568e-50,"FBL","fibrillarin","2091"
"ENSG00000119318",3967.98057256994,-0.703170972800719,0.0465343693537439,-15.1107876300068,1.37486496898516e-51,2.44984997009747e-50,"RAD23B","RAD23 homolog B, nucleotide excision repair protein","5887"
"ENSG00000171223",835.542490860056,1.20120427859568,0.079548958175965,15.1001886905743,1.61470668008656e-51,2.87374937973428e-50,"JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","3726"
"ENSG00000073711",709.838524301511,-1.2772110725496,0.0846996723773507,-15.0792917693875,2.21633597021426e-51,3.93973745837845e-50,"PPP2R3A","protein phosphatase 2 regulatory subunit B''alpha","5523"
"ENSG00000112297",163.54138957761,-2.59076399615141,0.171904630353318,-15.0709378265529,2.51517251934681e-51,4.46556622749012e-50,"CRYBG1","crystallin beta-gamma domain containing 1","202"
"ENSG00000186575",1943.35468726224,-0.845014227865686,0.0560995732807518,-15.0627567813536,2.84664827311619e-51,5.04801065162937e-50,"NF2","NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor","4771"
"ENSG00000101367",2865.2504984459,-0.72968735533684,0.0484973009332068,-15.0459374294212,3.67096368954112e-51,6.50196858049096e-50,"MAPRE1","microtubule associated protein RP/EB family member 1","22919"
"ENSG00000138675",1899.0947019017,-2.09456336867563,0.139261799152052,-15.0404732771598,3.98689473879384e-51,7.05307493718996e-50,"FGF5","fibroblast growth factor 5","2250"
"ENSG00000091656",589.108024373691,-1.29951424536299,0.0864102170125658,-15.0388957497238,4.0830414547342e-51,7.21451420636508e-50,"ZFHX4","zinc finger homeobox 4","79776"
"ENSG00000156671",1372.08322195131,0.900790025637086,0.0599139893736549,15.034719521334,4.34886389703535e-51,7.67501649962434e-50,"SAMD8","sterile alpha motif domain containing 8","142891"
"ENSG00000113048",584.282627214867,-1.24970024114444,0.0831508216896466,-15.0293192027475,4.71829957041543e-51,8.31705995960684e-50,"MRPS27","mitochondrial ribosomal protein S27","23107"
"ENSG00000151503",471.063779213311,-1.40928284158959,0.0938046071187698,-15.0235994251886,5.14370597620595e-51,9.05611431658027e-50,"NCAPD3","non-SMC condensin II complex subunit D3","23310"
"ENSG00000109586",701.602157625585,-1.14284505398566,0.0761059112481847,-15.0165083794713,5.72446860688102e-51,1.00666042700742e-49,"GALNT7","polypeptide N-acetylgalactosaminyltransferase 7","51809"
"ENSG00000140525",363.918727071996,-1.64760545481993,0.109763097260221,-15.0105590671688,6.26176910047827e-51,1.09983501557686e-49,"FANCI","FA complementation group I","55215"
"ENSG00000153071",3936.0958845239,-0.643864264564445,0.0429417130165407,-14.9939119642581,8.04705753346727e-51,1.41172754873693e-49,"DAB2","DAB adaptor protein 2","1601"
"ENSG00000163171",4580.95736441411,-2.02028700913573,0.134812193242524,-14.9859368098943,9.07370674482279e-51,1.58994619136717e-49,"CDC42EP3","CDC42 effector protein 3","10602"
"ENSG00000134871",44717.3205183754,0.598875912409589,0.0399682212731019,14.9838019640024,9.36999417502879e-51,1.63991570650504e-49,"COL4A2","collagen type IV alpha 2 chain","1284"
"ENSG00000175221",705.494349844823,-1.16101322700354,0.0775688614837002,-14.9675166657888,1.19708378797317e-50,2.09262727580049e-49,"MED16","mediator complex subunit 16","10025"
"ENSG00000163577",269.502381124719,-1.90121486563017,0.127155131903614,-14.9519318423681,1.51295661576594e-50,2.64167596556339e-49,"EIF5A2","eukaryotic translation initiation factor 5A2","56648"
"ENSG00000171451",1825.35463820626,-0.787843193432507,0.0526962434261855,-14.9506519290333,1.54231876282794e-50,2.68976016864816e-49,"DSEL","dermatan sulfate epimerase like","92126"
"ENSG00000124831",1891.17000858139,-0.779804410971874,0.052181914733715,-14.9439593190711,1.70534474430584e-50,2.97056155342247e-49,"LRRFIP1","LRR binding FLII interacting protein 1","9208"
"ENSG00000099364",1032.72455164077,1.05165674432013,0.0704476149073594,14.9282093609995,2.15988554206315e-50,3.7578951990094e-49,"FBXL19","F-box and leucine rich repeat protein 19","54620"
"ENSG00000068305",513.974091230932,-1.2881136638342,0.0863470777255648,-14.9178605433318,2.52231816418182e-50,4.38330767895625e-49,"MEF2A","myocyte enhancer factor 2A","4205"
"ENSG00000000003",751.038258129933,1.14297467895843,0.0766605183565275,14.9095610551805,2.85624023415069e-50,4.95776098995992e-49,"TSPAN6","tetraspanin 6","7105"
"ENSG00000148842",734.25616491907,1.27424892509947,0.0855366705381757,14.8971069025975,3.44162193614973e-50,5.96682609235642e-49,"CNNM2","cyclin and CBS domain divalent metal cation transport mediator 2","54805"
"ENSG00000079150",969.925704373625,0.97818149686079,0.0656809521509798,14.8929250387884,3.66383371299903e-50,6.34462471849621e-49,"FKBP7","FKBP prolyl isomerase 7","51661"
"ENSG00000131462",530.05539235359,-1.32478665463974,0.0889962630773971,-14.8858683368269,4.0716562419705e-50,7.04258103095343e-49,"TUBG1","tubulin gamma 1","7283"
"ENSG00000112308",2087.34773372006,-0.828634934580523,0.0556821805135657,-14.8815101516839,4.34578304239494e-50,7.50792541071369e-49,"C6orf62","chromosome 6 open reading frame 62","81688"
"ENSG00000163507",227.058322893011,-2.08827295427786,0.140355799257791,-14.8784230172231,4.55100484251906e-50,7.85327783000306e-49,"CIP2A","cellular inhibitor of PP2A","57650"
"ENSG00000140948",786.316593671688,1.10484067726852,0.0743468990431649,14.8606154592549,5.93771792159391e-50,1.02342395111211e-48,"ZCCHC14","zinc finger CCHC-type containing 14","23174"
"ENSG00000132471",1598.7033459369,0.968435201545245,0.0651901805754403,14.855537950605,6.40517072594702e-50,1.10270582136082e-48,"WBP2","WW domain binding protein 2","23558"
"ENSG00000126903",393.781132006211,-1.5414810592095,0.103805210280098,-14.8497465112794,6.98322074657828e-50,1.20082096614238e-48,"SLC10A3","solute carrier family 10 member 3","8273"
"ENSG00000164619",256.743546135647,-2.00679508283303,0.1352336675164,-14.8394635721143,8.14042966096128e-50,1.39818276155789e-48,"BMPER","BMP binding endothelial regulator","168667"
"ENSG00000145604",294.667988509243,-1.73810367644138,0.117160588046952,-14.8352249285812,8.67127909908502e-50,1.48762850962675e-48,"SKP2","S-phase kinase associated protein 2","6502"
"ENSG00000197977",138.440519118398,-3.04177882976965,0.205165767429552,-14.8259569219515,9.95510708164153e-50,1.70589604973913e-48,"ELOVL2","ELOVL fatty acid elongase 2","54898"
"ENSG00000123989",2485.79109076874,-0.703333758131839,0.0474599124957009,-14.8195333945369,1.09542718358533e-49,1.8749341840624e-48,"CHPF","chondroitin polymerizing factor","79586"
"ENSG00000116604",1524.88905917266,0.856298900874817,0.0577884871407497,14.8178113538293,1.12386983394605e-49,1.92138766280881e-48,"MEF2D","myocyte enhancer factor 2D","4209"
"ENSG00000047056",972.353279510714,0.978892231182035,0.0660771368453768,14.8143863053976,1.18264434987053e-49,2.01952948356364e-48,"WDR37","WD repeat domain 37","22884"
"ENSG00000187742",708.293141535007,1.14253735482557,0.0771400686690535,14.8112047932869,1.23997703703193e-49,2.11498511033169e-48,"SECISBP2","SECIS binding protein 2","79048"
"ENSG00000156804",358.768341514814,1.6308575167924,0.110132814364106,14.8080980787496,1.29863034196648e-49,2.21247021540108e-48,"FBXO32","F-box protein 32","114907"
"ENSG00000172380",4995.16603030053,-0.661477099104226,0.044671354781333,-14.8076346092964,1.30761404826674e-49,2.22520619009544e-48,"GNG12","G protein subunit gamma 12","55970"
"ENSG00000143344",679.576332636425,1.20615519427505,0.0814669269081509,14.8054583626914,1.35063182746972e-49,2.29576290120833e-48,"RGL1","ral guanine nucleotide dissociation stimulator like 1","23179"
"ENSG00000148730",3400.68947289627,0.738187649606506,0.0500266942758624,14.7558750441497,2.8200978638542e-49,4.78800044687053e-48,"EIF4EBP2","eukaryotic translation initiation factor 4E binding protein 2","1979"
"ENSG00000106034",1366.53796375434,-0.888076349306406,0.0602437305099433,-14.7413903785362,3.49514154501565e-49,5.92727797185758e-48,"CPED1","cadherin like and PC-esterase domain containing 1","79974"
"ENSG00000150551",690.02565569528,1.13970381338471,0.0773234427444903,14.7394344190128,3.59785208240472e-49,6.09445575474159e-48,"LYPD1","LY6/PLAUR domain containing 1","116372"
"ENSG00000136518",447.500637454589,-1.45595241973301,0.0987929329714124,-14.7374146706862,3.70706603613806e-49,6.27225370380515e-48,"ACTL6A","actin like 6A","86"
"ENSG00000165916",1924.85595299522,-0.79535654503919,0.0539896696275634,-14.7316431185038,4.03767897134819e-49,6.82381621343313e-48,"PSMC3","proteasome 26S subunit, ATPase 3","5702"
"ENSG00000179454",305.35788680465,1.72446620334173,0.117114151007702,14.7246612685458,4.47707323979082e-49,7.55775040959655e-48,"KLHL28","kelch like family member 28","54813"
"ENSG00000198668",4065.31725965248,-0.672157155043212,0.0456615105182785,-14.7204318782697,4.76606785095158e-49,8.03640743690738e-48,"CALM1","calmodulin 1","801"
